User Id,Datetime,Amount
826,03-10-2022 03:46,18452
848,03-10-2022 03:55,16120
763,03-10-2022 03:56,7000
843,03-10-2022 04:06,19000
497,03-10-2022 04:12,17500
790,03-10-2022 04:43,5200
888,03-10-2022 04:51,4999
884,03-10-2022 05:37,44166
633,03-10-2022 05:55,5000
250,03-10-2022 06:00,87500
140,03-10-2022 06:27,14000
784,03-10-2022 06:53,1500
927,03-10-2022 06:55,9999
318,03-10-2022 07:08,2000
448,03-10-2022 08:00,9500
47,03-10-2022 08:04,2500
553,03-10-2022 08:15,20000
230,03-10-2022 08:23,500
354,03-10-2022 08:39,40000
153,03-10-2022 08:54,6500
78,03-10-2022 09:08,54000
78,03-10-2022 09:09,31000
536,03-10-2022 09:11,4128
920,03-10-2022 09:15,84975
967,03-10-2022 10:01,6000
633,03-10-2022 10:05,15000
448,03-10-2022 10:12,8000
449,03-10-2022 10:37,30281
765,03-10-2022 10:46,1000
304,03-10-2022 10:57,4000
421,03-10-2022 11:09,12900
884,03-10-2022 11:40,25000
380,03-10-2022 11:51,5000
20,03-10-2022 11:52,10000
31,03-10-2022 11:54,4000
478,03-10-2022 12:01,1483
309,03-10-2022 12:18,7500
421,03-10-2022 12:20,5200
47,03-10-2022 12:32,3110
856,03-10-2022 12:50,14000
916,03-10-2022 13:22,1618
190,03-10-2022 13:52,521
946,03-10-2022 13:58,45000
421,03-10-2022 14:03,3100
587,03-10-2022 14:08,180000
448,03-10-2022 14:20,11000
420,03-10-2022 14:39,1940
902,03-10-2022 14:49,2000
31,03-10-2022 15:28,4300
357,03-10-2022 15:45,7862
168,03-10-2022 15:49,5500
246,03-10-2022 16:35,8500
467,03-10-2022 16:38,40000
888,03-10-2022 16:49,9499
78,03-10-2022 18:02,5000
667,03-10-2022 18:35,6034
421,03-10-2022 18:39,17100
884,03-10-2022 18:41,25000
365,03-10-2022 19:37,20015
558,03-10-2022 19:38,2788
82,03-10-2022 19:40,1100
795,03-10-2022 19:48,1000
752,03-10-2022 19:54,5002
337,03-10-2022 19:57,200
459,03-10-2022 20:39,5574
180,03-10-2022 20:46,5000
599,03-10-2022 20:57,22400
766,03-10-2022 21:04,2900
795,03-10-2022 21:10,1800
523,03-10-2022 21:14,9200
795,03-10-2022 21:21,15000
731,03-10-2022 21:41,12000
852,03-10-2022 21:53,2203
380,03-10-2022 22:01,3500
604,03-10-2022 22:17,4000
144,03-10-2022 22:57,28000
829,03-10-2022 23:29,32000
207,03-10-2022 23:36,5053
558,03-10-2022 23:38,2000
907,03-10-2022 23:45,2692
827,03-10-2022 23:57,100000
659,04-10-2022 00:01,2800
628,04-10-2022 00:01,5167
829,04-10-2022 00:14,9500
365,04-10-2022 00:20,9995
978,04-10-2022 00:21,50001
407,04-10-2022 00:40,7500
634,04-10-2022 00:46,217730
421,04-10-2022 00:47,16000
947,04-10-2022 00:51,20000
856,04-10-2022 01:05,30000
902,04-10-2022 01:05,10000
193,04-10-2022 01:21,34000
854,04-10-2022 01:28,17007
296,04-10-2022 01:32,10900
99,04-10-2022 02:06,154346
574,04-10-2022 02:12,12100
461,04-10-2022 02:19,2000
31,04-10-2022 02:24,1851
852,04-10-2022 02:34,1614
634,04-10-2022 02:34,191564
502,04-10-2022 02:35,9969
614,04-10-2022 02:35,3000
421,04-10-2022 02:37,4800
819,04-10-2022 02:59,8500
422,04-10-2022 03:07,15000
565,04-10-2022 03:13,1000
377,04-10-2022 03:21,11400
159,04-10-2022 03:43,12700
33,04-10-2022 03:46,9000
518,04-10-2022 03:54,400
64,04-10-2022 03:55,3700
987,04-10-2022 03:56,13000
634,04-10-2022 04:07,259116
47,04-10-2022 04:11,2800
972,04-10-2022 04:13,900
409,04-10-2022 04:49,13926
23,04-10-2022 04:51,34000
412,04-10-2022 05:03,3300
75,04-10-2022 05:22,3000
972,04-10-2022 05:22,1000
795,04-10-2022 05:26,15000
980,04-10-2022 05:50,4500
313,04-10-2022 05:55,4000
246,04-10-2022 05:57,10000
587,04-10-2022 05:59,200000
773,04-10-2022 06:06,5065
927,04-10-2022 06:11,6700
162,04-10-2022 06:12,90000
836,04-10-2022 06:47,20000
446,04-10-2022 07:00,22612
992,04-10-2022 07:13,25000
208,04-10-2022 07:22,75000
137,04-10-2022 07:36,10000
164,04-10-2022 07:45,5160
950,04-10-2022 07:49,5000
989,04-10-2022 07:57,115000
47,04-10-2022 08:04,5000
139,04-10-2022 08:14,11000
972,04-10-2022 08:28,17600
502,04-10-2022 09:01,6150
212,04-10-2022 09:31,18000
380,04-10-2022 09:36,10000
660,04-10-2022 09:40,1900
829,04-10-2022 10:07,10000
615,04-10-2022 10:11,500
688,04-10-2022 10:13,31100
548,04-10-2022 10:57,900
185,04-10-2022 11:22,1000
330,04-10-2022 11:29,5000
93,04-10-2022 11:30,25000
900,04-10-2022 11:38,8000
795,04-10-2022 11:42,500
16,04-10-2022 11:53,21198
82,04-10-2022 11:54,6000
987,04-10-2022 12:40,6400
417,04-10-2022 12:44,11000
987,04-10-2022 13:15,3000
497,04-10-2022 13:19,13569
518,04-10-2022 13:30,5300
190,04-10-2022 13:31,6992
618,04-10-2022 13:39,8000
598,04-10-2022 13:55,11500
157,04-10-2022 13:58,2000
164,04-10-2022 14:03,7800
471,04-10-2022 14:05,36462
812,04-10-2022 14:05,2000
978,04-10-2022 14:10,27700
907,04-10-2022 14:13,2892
292,04-10-2022 14:38,6843
212,04-10-2022 14:38,155382
313,04-10-2022 14:43,3000
822,04-10-2022 14:54,5973
251,04-10-2022 15:05,10000
889,04-10-2022 15:16,4400
137,04-10-2022 15:17,15000
47,04-10-2022 15:19,1770
47,04-10-2022 15:26,1569
850,04-10-2022 15:26,20000
9,04-10-2022 15:27,19880
587,04-10-2022 15:48,150000
934,04-10-2022 15:58,500
888,04-10-2022 15:59,3200
565,04-10-2022 16:03,270
289,04-10-2022 16:15,14000
829,04-10-2022 16:20,5000
634,04-10-2022 16:28,284444
456,04-10-2022 17:12,65000
907,04-10-2022 17:22,1401
829,04-10-2022 17:25,5000
502,04-10-2022 17:29,10100
797,04-10-2022 17:34,2500
11,04-10-2022 18:40,4000
855,04-10-2022 18:49,5000
258,04-10-2022 19:31,5000
934,04-10-2022 19:38,500
146,04-10-2022 19:55,100000
707,04-10-2022 19:57,160000
852,04-10-2022 20:07,8207
478,04-10-2022 20:35,1409
795,04-10-2022 20:48,500
82,04-10-2022 20:50,19000
352,04-10-2022 21:07,89259
795,04-10-2022 21:21,1500
437,04-10-2022 21:29,47147
352,04-10-2022 22:01,30000
740,04-10-2022 22:33,280000
2,04-10-2022 22:42,19000
760,04-10-2022 22:51,4951
688,04-10-2022 23:14,36671
196,04-10-2022 23:31,35000
920,04-10-2022 23:52,10900
64,04-10-2022 23:55,3000
107,05-10-2022 00:05,3000
516,05-10-2022 00:14,3000
417,05-10-2022 00:26,2700
16,05-10-2022 00:32,6233
598,05-10-2022 01:30,3200
182,05-10-2022 01:33,26725
980,05-10-2022 01:40,600
421,05-10-2022 01:49,15000
663,05-10-2022 01:53,6484
845,05-10-2022 01:54,20000
912,05-10-2022 01:58,700
852,05-10-2022 02:03,5362
850,05-10-2022 02:15,1800
855,05-10-2022 02:26,5000
421,05-10-2022 02:34,8400
25,05-10-2022 02:36,7500
273,05-10-2022 03:00,5000
309,05-10-2022 03:03,8000
628,05-10-2022 03:16,6500
365,05-10-2022 03:17,100000
292,05-10-2022 03:36,10149
33,05-10-2022 03:49,1000
795,05-10-2022 03:50,1300
142,05-10-2022 03:53,45500
196,05-10-2022 04:17,45000
162,05-10-2022 04:17,130000
898,05-10-2022 04:37,6511
852,05-10-2022 04:47,2367
412,05-10-2022 04:50,3500
856,05-10-2022 05:10,15000
18,05-10-2022 05:12,4000
107,05-10-2022 05:24,9000
421,05-10-2022 05:51,5100
795,05-10-2022 06:28,7984
829,05-10-2022 06:48,14000
927,05-10-2022 06:59,9999
47,05-10-2022 07:28,2459
909,05-10-2022 07:47,20860
884,05-10-2022 07:57,4800
634,05-10-2022 07:58,264565
164,05-10-2022 08:23,5000
649,05-10-2022 08:26,1000
936,05-10-2022 08:29,3558
587,05-10-2022 08:50,280000
502,05-10-2022 08:52,12826
523,05-10-2022 09:08,25000
162,05-10-2022 09:12,140000
985,05-10-2022 09:16,1000
2,05-10-2022 09:30,36000
934,05-10-2022 09:32,600
763,05-10-2022 09:38,9600
888,05-10-2022 10:39,4000
190,05-10-2022 11:07,8000
648,05-10-2022 11:10,13000
801,05-10-2022 11:18,7500
850,05-10-2022 11:46,11777
316,05-10-2022 11:53,2700
302,05-10-2022 12:12,2665
566,05-10-2022 12:30,3000
878,05-10-2022 12:35,9494
854,05-10-2022 13:03,1050
421,05-10-2022 13:19,11900
141,05-10-2022 13:33,25000
448,05-10-2022 13:39,7000
559,05-10-2022 13:52,5990
710,05-10-2022 13:57,43000
137,05-10-2022 13:58,5000
357,05-10-2022 14:06,5371
9,05-10-2022 14:08,19925
421,05-10-2022 14:13,14600
289,05-10-2022 14:23,5000
130,05-10-2022 15:08,25200
852,05-10-2022 15:11,4807
517,05-10-2022 15:26,11000
817,05-10-2022 15:33,8000
927,05-10-2022 15:51,8000
795,05-10-2022 16:03,4000
649,05-10-2022 16:17,340
168,05-10-2022 16:30,5500
553,05-10-2022 16:42,3000
946,05-10-2022 17:06,48000
377,05-10-2022 17:07,5000
790,05-10-2022 17:21,3000
634,05-10-2022 17:21,173621
828,05-10-2022 17:41,9999
967,05-10-2022 17:54,5000
31,05-10-2022 18:06,3000
815,05-10-2022 18:19,17200
140,05-10-2022 18:39,8000
547,05-10-2022 18:46,20000
32,05-10-2022 18:53,5491
759,05-10-2022 18:58,4000
157,05-10-2022 19:12,26666
659,05-10-2022 19:13,15000
229,05-10-2022 19:50,1565
795,05-10-2022 19:53,2500
777,05-10-2022 19:54,16000
972,05-10-2022 20:02,3300
47,05-10-2022 20:20,2300
246,05-10-2022 21:34,9000
107,05-10-2022 21:35,1600
536,05-10-2022 21:56,4056
829,05-10-2022 22:16,12000
164,05-10-2022 22:24,3500
920,05-10-2022 22:36,38300
845,05-10-2022 22:38,38000
47,05-10-2022 22:55,1900
365,05-10-2022 23:12,52841
941,05-10-2022 23:14,4021
